"","Species","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","Landings","Value","value_euro","FDFVessel","Discards","Country","ID"
"1","BLL",2015,1,"OTB_DEF_70-89_0_0","10<24m","27.3.a.20",29.6194348881743,NA,NA,NA,NA,"NO",1
"2","COD",2015,1,"GNS_CRU_71-89_0_0","24<40m","27.4.a",3629.46505205152,58881.403182877,6509.45688467341,NA,NA,"NO",2
"3","COD",2015,1,"GNS_DEF_71-89_0_0","24<40m","27.4.a",2500.89144702424,29910.4975923814,3306.66532983295,NA,NA,"NO",3
"4","COD",2015,1,"GNS_DEF_90-99_0_0","24<40m","27.4.a",11476.4037061824,302169.378096706,33405.429087347,NA,NA,"NO",4
"5","COD",2015,1,"MIS_MIS_0_0_0","24<40m","27.4.a",18663.61257203,396431.982016168,43826.3484758514,NA,NA,"NO",5
"6","COD",2015,1,"OTB_DEF_>=120_0_0","24<40m","27.4.a",5602.73964238344,111784.582773379,12358.0091947626,NA,NA,"NO",6
"7","COD",2015,1,"OTB_DEF_32-69_0_0","10<24m","27.3.a.20",87.486075709433,1284.31233531333,141.983297293559,NA,NA,"NO",7
"8","COD",2015,1,"OTB_DEF_32-69_0_0","24<40m","27.4.a",567.393823921502,14632.1961713871,1617.61855113919,NA,NA,"NO",8
"9","COD",2015,1,"OTB_DEF_70-89_0_0","10<24m","27.3.a.20",63.7911136433797,1419.91756875092,156.974727060551,NA,NA,"NO",9
"10","COD",2015,1,"OTB_SPF_70-89_0_0","10<24m","27.3.a.20",19,267.5,29.57266,NA,NA,"NO",10
"11","COD",2015,1,"PTB_DEF_>=120_0_0","24<40m","27.4.a",40143.6136570984,952543.257491311,105305.562202179,NA,NA,"NO",11
"12","COD",2015,1,"PTB_SPF_>=120_0_0","24<40m","27.4.a",14467.9384453884,338507.846177551,37422.7194106206,NA,NA,"NO",12
"13","COD",2015,1,"SSC_DEF_>=120_0_0","10<24m","27.4.a",7792.39090222949,NA,NA,NA,NA,"NO",13
"14","COD",2015,2,"GNS_CRU_120-219_0_0","10<24m","27.4.a",111957.508584455,2096989.15219042,231826.344752955,NA,NA,"NO",14
"15","COD",2015,2,"GNS_CRU_71-89_0_0","24<40m","27.4.a",55719.3331172019,1227700.41233104,135724.735984021,NA,NA,"NO",15
"16","COD",2015,2,"GNS_DEF_120-219_0_0","10<24m","27.4.a",20472.1958915567,474057.879797937,52408.0467274215,NA,NA,"NO",16
"17","COD",2015,2,"GNS_DEF_120-219_0_0","10<24m","27.4.b",23514.9687964298,564386.032855539,62394.0047042456,NA,NA,"NO",17
"18","COD",2015,2,"GNS_DEF_120-219_0_0","24<40m","27.4.a",25829,0,0,NA,NA,"NO",18
"19","COD",2015,2,"GNS_DEF_71-89_0_0","10<24m","27.4.a",5594.20472201021,67817.4262534031,7497.35210716621,NA,NA,"NO",19
"20","COD",2015,2,"GNS_DEF_71-89_0_0","24<40m","27.4.a",135236.240473075,3308294.47459874,365738.57075584,NA,NA,"NO",20
"21","COD",2015,2,"GNS_DEF_71-89_0_0","24<40m","27.4.b",3316.63626532297,85245.2379542383,9424.03154631694,NA,NA,"NO",21
"22","COD",2015,2,"GNS_DEF_90-99_0_0","24<40m","27.4.a",84659.1350170152,1856099.95062428,205195.561741415,NA,NA,"NO",22
"23","COD",2015,2,"GNS_DEF_90-99_0_0","24<40m","27.4.b",4275.3495493651,111601.153192163,12337.7306877,NA,NA,"NO",23
"24","COD",2015,2,"GNS_SPF_120-219_0_0","10<24m","27.4.a",26794.6115001885,533866.641392493,59020.0249392229,NA,NA,"NO",24
"25","COD",2015,2,"LLS_DEF_0_0_0","=40m","27.4.a",114744.834133223,3499458.9977336,386872.191117445,NA,NA,"NO",25
"26","COD",2015,2,"LLS_DEF_0_0_0","=40m","27.4.b",16052.0190400182,453803.762326797,50168.913532752,NA,NA,"NO",26
"27","COD",2015,2,"LLS_DEF_0_0_0","24<40m","27.6.a",2283.95979510525,30367.5783385394,3357.19652048221,NA,NA,"NO",27
"28","COD",2015,2,"MIS_MIS_0_0_0","=40m","27.4.a",3641.78168835666,96907.9956876513,10713.3727392612,NA,NA,"NO",28
